,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Country,City,USD_price
1,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,75,Germany , BÃ¶nningstedt,3699.4
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,Germany , Bayern ,3602.94
10,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,Switzerland , Seengen,3780.0000000000005
12,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,69,Italy , Lake Garda ,3710.0
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,Switzerland , Zugersee ,4968.0
14,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,413,Switzerland , VierwaldstÃ¤ttersee ,4860.0
18,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,265,France ," MARTGUES, MARTIGUES",4240.0
20,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,69,Germany , Bayern ,4238.9400000000005
22,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,90,Germany , Nordrhein-Westfalen ,4165.8
23,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,98,Germany ," BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",4134.0
25,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,160,Switzerland , Diessenhofen,4536.0
27,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,130,Switzerland , VierwaldstÃ¤ttersee ,4352.400000000001
29,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,512,Switzerland , Horgen,4293.0
30,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,202,Switzerland , Lake of Zurich ,4266.0
34,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,255,Switzerland , Luganersee ,4104.0
35,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,Switzerland , Walensee ,4104.0
36,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,849,Switzerland , Sihlsee ,4104.0
38,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,133,Germany , Verkaufshafen Brandenburg-Plaue,3710.0
43,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,186,Germany , Berlin ,5830.0
44,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,118,Spain ," Cabo de Palos, Espagne",5830.0
45,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,74,Italy , emilia,5830.0
46,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,543,Switzerland , Faoug ,6372.0
49,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,67,Germany , Bayern ,5722.9400000000005
53,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,141,Germany , Erftstadt,5512.0
54,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,278,Switzerland , Neuenburgersee ,5940.0
55,Runabout,Kimple power boats,new boat from stock,2020,4.0,1.65,Aluminium,99,Switzerland , Zugersee ,5940.0
57,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,1201,Switzerland , Lake of Zurich ,7776.000000000001
59,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,277,Germany , Nordrhein-Westfalen ,6985.400000000001
60,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,85,Italy , Venezia,6890.0
61,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,122,Germany , Berlin ,6890.0
62,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5.0,2.15,GRP,183,Italy , 41100,6890.0
63,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8.0,2.1,GRP,289,Germany , Berlin ,6890.0
64,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,324,Austria , Werfenweng,6890.0
66,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,126,Germany , Verkaufshafen Brandenburg-Plaue,6879.400000000001
67,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,238,Switzerland , Murtensee ,7560.000000000001
68,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,866,Switzerland , Lake Geneva ,7560.000000000001
69,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,574,Switzerland , Neuenburgersee ,7560.000000000001
71,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,205,Switzerland , Lake Constance ,8964.0
74,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,200,Germany , BUDENHEIM/RHEIN,8098.400000000001
75,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,462,Switzerland , Horgen,8807.400000000001
76,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,201,Germany , Landshut,7950.0
80,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,208,France ," Saint-Quay-Portrieux, France",7950.0
81,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,189,France , CÃ´te d'Azur ,7950.0
82,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,131,France ," Saint Quay Portrieux, France",7950.0
83,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,490,Germany , Baden-WÃ¼rttemberg ,7950.0
86,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,280,Switzerland , Lake Constance ,10152.0
89,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,873,Switzerland , Lake of Zurich ,10006.2
90,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,258,Switzerland , 8881 Tscherlach,9936.0
94,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,165,Italy , Lombardia - Trentino Alto Adige ,9010.0
95,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,78,France ," Chalon-sur-SaÃ´ne, France",9010.0
96,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,116,France , 29200 BREST,9010.0
97,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,250,Germany , Kelheim,9010.0
101,Trawler,Gouwerok power boats,Used boat,1980,8.5,3.0,Steel,183,Netherlands , Sneek,10335.0
102,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,465,Switzerland , Lago Maggiore ,11340.0
106,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6.0,2.3,GRP,418,Switzerland , Diessenhofen ,11232.0
107,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,185,Germany , Verkaufshafen Brandenburg-Plaue,10174.94
108,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,64,Germany , Grevenbroich,10149.5
110,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2.0,GRP,91,Netherlands , Lemmer,10126.18
111,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,138,Netherlands , In verkoophaven,10070.0
112,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,184,Italy , Lombardia - Trentino Alto Adige ,10070.0
113,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,162,Germany , Brandenburg ,10070.0
116,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,256,Switzerland , Luganersee ,11880.0
117,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7.0,1.9,Wood,230,Switzerland , Beringen,11880.0
118,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6.0,1.6,GRP,182,Switzerland , Rhein,11880.0
120,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,115,Germany , Wesel,10721.9
121,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,159,Switzerland , Zugersee ,11772.0
123,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,585,Italy , Toscana ,10600.0
127,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12.0,3.0,Steel,182,Italy , Lombardia - Trentino Alto Adige ,10600.0
128,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,900,Germany , Brandenburg ,10600.0
129,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,783,Italy , Lombardia - Trentino Alto Adige ,10600.0
130,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,175,France ," CAP D'AGDE, CAP D'AGDE",10600.0
131,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,207,France ," CAP D'AGDE, CAP D'AGDE",10600.0
132,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,284,Italy , Friuli-Venezia Giulia,11660.0
133,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,125,Germany , INFO DD-YACHTING,11660.0
134,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,229,Italy , Venezia,11660.0
135,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,226,France ," GRANVILLE, GRANVILLE",11660.0
136,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,87,France ," Dienville, Dienville",11660.0
139,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,173,Italy , Lake Garda ,11660.0
140,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6.0,2.4,GRP,422,Spain , Baleares ,11660.0
141,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,243,Germany , Rhein ,11660.0
142,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,254,Netherlands , In verkoophaven,11660.0
143,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,150,Germany , Kieler Bucht mit Fehmarn ,11658.94
144,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,255,Germany , Nordrhein-Westfalen ,11658.94
145,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,179,Germany , Nordrhein-Westfalen ,11658.94
146,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,169,Germany , Verkaufshafen Brandenburg-Plaue,11649.400000000001
147,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,136,Germany , Ostsee ,11649.400000000001
148,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,141,France ," Mandelieu, France",12720.0
149,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,442,Serbia , Belgrade,12720.0
151,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,327,Germany , Berlin ,12720.0
152,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,188,Italy , Veneto ,12720.0
153,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,1101,Germany , Mecklenburg-Vorpommern ,12720.0
156,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5.0,4.96,PVC,141,France ," Chalon-sur-SaÃ´ne, France",12709.400000000001
157,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,284,Switzerland , Kesswil ,13986.000000000002
160,Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,273,Switzerland , Zugersee ,13932.000000000002
161,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,365,Switzerland , Zugersee ,13932.000000000002
165,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,180,Germany , Lake Constance ,13536.2
170,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.0,2.0,GRP,147,Italy , Friuli Venezia Giulia ,13250.0
172,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,235,Germany , Baden-WÃ¼rttemberg ,13250.0
173,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,452,Italy , Gardasee,13250.0
174,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,165,Netherlands , In verkoophaven,13250.0
178,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,436,Switzerland , Finstersee,15984.000000000002
179,Deck Boat,Jeanneau power boats,new boat from stock,2014,5.0,2.0,PVC,35,Slovak Republic ," Bratislava, Slovaquie",14511.400000000001
180,Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,212,Switzerland , VierwaldstÃ¤ttersee ,15876.000000000002
183,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,121,Italy , Toscana ,14310.0
185,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,110,France ," PLOUGERNEAU, France",14310.0
186,Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,83,Netherlands , In verkoophaven,14310.0
187,Sport Boat,Lema power boats,"Used boat,Diesel",1996,7.0,2.0,PVC,264,Spain , Torrevieja,14310.0
188,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,109,Italy , Lombardia - Trentino Alto Adige ,14310.0
189,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,132,Croatia (Hrvatska) , INFO DD-YACHTING,14310.0
190,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2.0,PVC,81,France ," ANDERNOS, ANDERNOS",14310.0
191,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,262,France ," PORNICHET, France",14310.0
193,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3.0,2.0,PVC,186,Portugal ," PortimÃ£o, Portugal",15370.0
195,Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,292,Switzerland , Lake Geneva ,16848.0
197,Runabout,Karnic power boats,new boat from stock,2018,4.9,2.08,GRP,119,Germany , Lake Constance ,15227.960000000001
198,Center console boat,Seagull power boats,"Used boat,Unleaded",2006,5.25,2.16,GRP,151,Switzerland , Lake Geneva ,16740.0
201,Sport Boat,Romar power boats,new boat from stock,2019,5.68,1.99,GRP,285,Switzerland , Diessenhoen,15052.0
202,Sport Boat,Gobbi power boats,Used boat,1997,9.15,3.0,GRP,281,Italy , Veneto ,14840.0
206,Cabin Boat,SAS-Vektor power boats,"Used boat,Unleaded",2008,4.99,2.07,GRP,118,Croatia (Hrvatska) , Biograd,14840.0
209,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2014,4.7,1.85,GRP,156,Germany , Stadtprozelten,15794.0
210,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,10.0,3.0,GRP,111,Croatia (Hrvatska) , Istra,15794.0
211,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,87,Italy , Dormelletto ,15794.0
212,Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,Aluminium,70,Germany , Berlin ,15794.0
214,Flybridge,Draco power boats,"Used boat,Diesel",1980,9.1,3.14,GRP,356,Italy , Friuli Venezia Giulia ,15794.0
215,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,7.9,2.5,GRP,198,Germany , Bayern ,15794.0
219,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,80,Switzerland , Lugano ,15794.0
221,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,5.0,2.1,GRP,180,Germany , 25488 Holm,15794.0
222,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,6.5,2.5,GRP,145,Germany , Genthin,16430.0
225,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,6.5,2.5,GRP,125,Austria , Linz,16430.0
226,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,9.2,2.98,GRP,236,Austria , Donau ,16430.0
227,Trawler,Hoekstra power boats,Used boat,1976,9.5,3.2,Steel,253,Netherlands , In verkoophaven,16430.0
228,Trawler,SkilsÃ¶ power boats,"Used boat,Diesel",1979,7.0,2.5,GRP,311,Germany , Niedersachsen ,16430.0
229,Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.5,2.29,GRP,219,Germany , Kieler Bucht mit Fehmarn ,16428.940000000002
230,Deck Boat,Jeanneau power boats,new boat from stock,2017,5.0,2.0,PVC,71,Slovak Republic ," Bratislava, Slovaquie",16419.4
231,Center console boat,Jeanneau power boats,new boat on order,2020,5.48,2.36,GRP,56,Germany , BÃ¶nningstedt / Werft,16372.76
233,Center console boat,Ranieri power boats,new boat from stock,2019,6.0,2.25,GRP,116,Italy , Lombardia - Trentino Alto Adige ,16324.0
238,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,4.7,2.02,Aluminium,341,Switzerland , Bouveret,19098.72
240,Pilothouse,Milan  power boats,"Used boat,Diesel",1992,6.19,2.4,GRP,201,Switzerland , Bielersee,18900.0
242,Center console boat,Jeanneau power boats,new boat from stock,2020,5.48,2.36,GRP,99,Germany , BÃ¶nningstedt / Werft,17193.2
245,Sport Boat,AMT power boats,new boat from stock,2019,5.15,2.08,GRP,60,Germany , auf Anfrage,17161.4
246,Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,7.2,2.57,GRP,387,Switzerland , Luganersee ,18900.0
247,Pilothouse,Smartliner power boats,new boat on order,2020,6.4,2.25,GRP,399,Switzerland , Lake Geneva ,18792.0
248,Center console boat,Morningstar power boats,new boat from stock,2019,5.0,2.0,Aluminium,149,Switzerland , VierwaldstÃ¤ttersee ,18792.0
251,Pilothouse,Smartliner power boats,"Used boat,Unleaded",2017,6.45,2.25,PVC,53,Montenegro ," Tivat, Montenegro",17914.0
252,Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,6.3,2.34,GRP,154,Germany , Bayern ,17914.0
254,Center console boat,Allegra power boats,"Used boat,Unleaded",2019,5.6,2.16,GRP,107,Italy , Lombardia - Trentino Alto Adige ,17914.0
255,"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,8.04,3.06,GRP,405,Germany , Baden-WÃ¼rttemberg ,17914.0
256,Motor Yacht,Jeanneau power boats,Used boat,2005,7.15,2.59,PVC,62,France ," SAINT CYPRIEN, France",17914.0
257,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2005,7.15,2.59,PVC,98,France ," SAINT CYPRIEN, France",17914.0
258,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,5.47,2.34,PVC,152,Spain ," Torrevieja, Espagne",17914.0
261,Bowrider,Bella power boats,Display Model,2019,5.01,2.01,GRP,339,Switzerland , VierwaldstÃ¤ttersee ,19720.800000000003
262,Sport Boat,Yamarin power boats,new boat from stock,2020,5.53,2.24,GRP,127,Germany , Nordrhein-Westfalen ,17882.2
263,Center console boat,Saver power boats,"new boat from stock,Unleaded",2020,5.83,2.03,GRP,247,Switzerland , Thunersee ,19666.800000000003
264,Fishing Boat,Lund Boats power boats,new boat from stock,2020,4.95,2.03,Aluminium,241,Switzerland , Lake Geneva ,19656.0
265,Motor Yacht,Mariah power boats,"Used boat,Unleaded",1997,6.5,2.5,Thermoplastic,331,Switzerland , Murtensee ,19656.0
267,Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2005,6.22,2.47,PVC,144,France ," CAP D'AGDE, CAP D'AGDE",18550.0
270,Pilothouse,Ocqueteau power boats,"Used boat,Gas",2010,5.4,2.4,GRP,192,Portugal , Lisbon ,18550.0
272,Trawler,Pedro power boats,Used boat,1984,8.6,2.8,Steel,149,Netherlands , In verkoophaven,18550.0
273,Cabin Boat,Hanto power boats,"Used boat,Diesel",1984,7.0,2.0,GRP,164,Germany , Schwerin,18539.4
274,Cabin Boat,Winga power boats,"Used boat,Diesel",1977,7.5,2.75,GRP,162,Germany , Verkaufshafen Brandenburg-Plaue,18539.4
275,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2019,5.0,1.94,Aluminium,215,Switzerland , Bouveret,20412.0
278,Sport Boat,Campion power boats,"Used boat,Unleaded",2001,5.71,2.34,Plastic,335,Switzerland , Lago Maggiore ,20412.0
279,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,6.5,2.45,Plastic,686,Switzerland , Lake Constance ,20412.0
280,Water ski,Correct Craft power boats,"Used boat,Unleaded",1998,5.9,2.32,GRP,1028,Switzerland , Lake of Zurich ,21060.0
286,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,7.96,2.47,GRP,375,Portugal , Vilamoura,19080.0
287,Pilothouse,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2003,6.2,2.0,GRP,333,Italy , Lake Garda ,19080.0
288,Cabin Boat,Saura power boats,"Used boat,Diesel",1993,7.35,2.72,GRP,129,Spain , Mallorca ,19080.0
289,Sport Boat,Yamarin power boats,"Used boat,Unleaded",2004,6.21,2.48,PVC,211,Spain ," DÃ©nia, Alicante",19080.0
291,Flybridge,Bayliner power boats,"Used boat,Unleaded",1993,8.0,2.94,GRP,334,Italy , Toscana ,19080.0
292,Bowrider,Ebbtide power boats,"Used boat,Unleaded",2009,5.59,2.29,PVC,119,Spain ," Cabo de Palos, Espagne",19080.0
296,Sport Boat,Drago Boats power boats,"Used boat,Unleaded",2015,5.33,2.25,PVC,110,France ," Chalon-sur-SaÃ´ne, France",19928.0
297,Center console boat,Clear power boats,new boat from stock,2020,6.15,2.27,GRP,149,Germany , Lake Constance ,19875.0
299,Sport Boat,Nor-Dan power boats,"Used boat,Unleaded",1990,6.5,2.4,GRP,254,Germany , Baden-WÃ¼rttemberg ,19822.0
300,Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,6.1,2.4,GRP,324,Switzerland , Lake Geneva ,19811.4
301,Cabin Boat,Donzi power boats,"Used boat,Unleaded",1991,7.62,2.59,GRP,220,Switzerland , Lago Maggiore ,21600.0
302,Sport Boat,Sea-Doo power boats,"Used boat,Unleaded",2008,4.67,2.16,GRP,540,Switzerland , Lake of Zurich ,21589.2
303,Cabin Boat,Chris Craft power boats,"Used boat,Unleaded",1991,7.22,2.57,GRP,339,Switzerland , Lake Geneva ,21589.2
306,Fishing Boat,Smartliner power boats,new boat from stock,2020,6.4,2.25,GRP,185,Switzerland , Lake Geneva ,21708.0
307,Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,401,Switzerland , Zugersee ,21492.0
308,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,2026,Switzerland , Murtensee ,21492.0
310,Sport Boat,Yamarin power boats,new boat from stock,2020,4.86,1.96,Aluminium,145,Germany , Nordrhein-Westfalen ,19625.9
311,Trawler,Beachcraft power boats,Used boat,1981,8.2,3.1,Steel,118,Netherlands , In verkoophaven,20670.0
312,Cabin Boat,Waterland power boats,Used boat,1975,8.2,3.1,GRP,101,Netherlands , In verkoophaven,20670.0
313,Cabin Boat,KOK power boats,Used boat,2005,6.1,2.25,Steel,78,Netherlands , In verkoophaven,20670.0
316,Cabin Boat,Bayliner power boats,Unleaded,2003,5.89,2.37,GRP,261,Germany , MÃ¶lln,20659.4
317,Pontoon Boat,Calcagno power boats,"Used boat,Diesel",2014,5.95,2.27,GRP,163,Switzerland , Luganersee ,22680.0
319,Motor Yacht,Pacific Craft power boats,"new boat from stock,Unleaded",2018,4.99,1.97,GRP,183,Switzerland , Lake Geneva ,22626.0
321,Center console boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,117,Germany , Baden-WÃ¼rttemberg ,20458.0
322,Pontoon Boat,MÃ¤ndli power boats,new boat from stock,2020,9.0,1.7,Wood,235,Switzerland , Beringen,22464.0
323,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.12,2.44,GRP,217,Italy , Friuli Venezia Giulia ,21094.0
324,Sport Boat,Galia power boats,"new boat from stock,Unleaded",2018,4.78,1.95,GRP,121,Germany , Boote Pfister / Schwebheim,21094.0
326,Motor Yacht,Cytra power boats,"Used boat,Unleaded",1976,9.0,3.2,GRP,314,Germany , Lake Constance ,21094.0
327,Motor Yacht,Crownline power boats,Used boat,1997,7.5,2.59,GRP,122,Netherlands , Lemmer,21094.0
328,Bowrider,Chris Craft power boats,"Used boat,Unleaded",1995,7.83,2.58,PVC,165,France ," Chalon-sur-SaÃ´ne, France",21094.0
329,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,6.16,2.29,GRP,375,Germany , Lake Constance ,21094.0
331,Sport Boat,Buster power boats,"Used boat,Unleaded",1994,4.95,1.97,Aluminium,80,Germany , Bayern ,21094.0
335,Cabin Boat,Fjord power boats,"Used boat,Diesel",1984,8.15,2.9,GRP,280,Germany , Flensburger FÃ¶rde ,21094.0
336,Sport Boat,Boesch power boats,"Used boat,Unleaded",1970,5.1,2.02,Wood,206,Germany , Baden-WÃ¼rttemberg ,21094.0
337,Cabin Boat,Smartliner power boats,"Used boat,Unleaded",2017,5.7,2.25,GRP,159,Germany , Niedersachsen ,21094.0
338,Motor Yacht,Doerak Sneek power boats,"Used boat,Diesel",1969,8.5,3.1,Steel,157,Belgium , Gent ,21094.0
339,Pilothouse,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.75,2.54,GRP,153,Germany , Kieler Bucht mit Fehmarn ,21728.940000000002
340,Sport Boat,Sting power boats,new boat from stock,2018,6.08,2.37,GRP,115,Germany , Nordrhein-Westfalen ,21719.4
341,Center console boat,Sting power boats,new boat from stock,2020,5.3,2.15,GRP,118,Switzerland , VierwaldstÃ¤ttersee ,23878.800000000003
342,Sport Boat,Scand power boats,"Used boat,Unleaded",1989,8.5,3.0,GRP,537,Switzerland , Bielersee,23760.0
343,Pontoon Boat,Airon Marine power boats,"Used boat,Unleaded",1992,7.63,2.5,GRP,176,Switzerland , Luganersee ,23760.0
344,Bowrider,Cranchi power boats,Used boat,1993,7.6,2.47,GRP,415,Switzerland , Luganersee ,23760.0
345,Cabin Boat,Saga power boats,"Used boat,Diesel",1978,8.12,2.75,GRP,593,Switzerland , Bielersee ,23760.0
346,Hardtop,Finnmaster power boats,"Used boat,Unleaded",2001,6.01,2.3,GRP,527,Switzerland , Rhein ,23760.0
347,Sport Boat,Draco power boats,"Used boat,Unleaded",1993,6.77,2.28,GRP,265,Switzerland , Bielersee ,23760.0
