,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Country,City,USD_price
8216,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2016,7.5,2.5,PVC,122,France ," SAINT-RAPHAEL, France",46534.0
8217,Pilothouse,B̩n̩teau power boats,Used boat,2008,8.36,2.95,PVC,74,United Kingdom ," Ardrossan, Ardrossan",39950.0
8218,Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2019,7.0,2.0,Aluminium,152,Portugal ," Parchal, Portugal",46475.700000000004
8219,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2008,7.32,2.59,PVC,139,United Kingdom ," Lincoln, Lincoln",39950.0
8222,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2008,8.25,2.94,PVC,88,France ," Saint-Gilles-Croix-de-Vie, France",46428.0
8223,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,6.48,2.53,GRP,61,Austria , Wiener Neustadt,46311.4
8225,Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.36,2.55,GRP,84,Germany , B̦nningstedt,46293.380000000005
8226,Cabin Boat,B̩n̩teau power boats,"Display Model,Diesel",2011,6.5,2.59,GRP,197,Switzerland , Brienzersee ,50544.0
8227,Deck Boat,Moonday power boats,new boat from stock,2019,6.98,2.34,GRP,46,Netherlands , Lemmer,46110.0
8228,Center console boat,Jeanneau power boats,"Used boat,Unleaded",2019,6.86,2.52,PVC,54,France ," LA ROCHELLE, France",46110.0
8231,Deck Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,5.33,2.23,PVC,87,Spain ," Hospitalet del Infante, Hospitalet del Infante",45969.020000000004
8232,Cabin Boat,Aquastar power boats,"Used boat,Diesel",1997,8.23,2.75,PVC,120,France ," Saint Malo, Saint Malo",39500.0
8233,Runabout,Futuro power boats,"Display Model,Unleaded",2020,5.5,2.0,Aluminium,140,Germany , Lake Constance ,45900.12
8234,Sport Boat,Idea Marine power boats,"new boat from stock,Unleaded",2020,5.65,2.35,GRP,169,Switzerland , Lago Maggiore,50479.200000000004
8235,Bowrider,Capelli power boats,"new boat from stock,Unleaded",2020,6.05,2.3,GRP,123,Germany , Bayern ,45792.0
8236,Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.75,2.54,GRP,150,Switzerland , Lake Constance ,50436.0
8237,Sport Boat,Yamarin power boats,new boat from stock,2020,6.3,2.35,GRP,250,Switzerland , Lake of Zurich ,50369.04
8239,Sport Boat,Alfastreet Marine power boats,"new boat from stock,Unleaded",2018,5.4,2.2,GRP,226,Switzerland , Lake of Zurich ,50339.880000000005
8242,Sport Boat,Jeanneau power boats,"Used boat,Diesel",2008,8.0,2.0,GRP,166,Croatia (Hrvatska) , Dalmatia,45580.0
8243,Deck Boat,Jeanneau power boats,new boat from stock,2020,6.58,2.46,PVC,38,United Kingdom ," Burton Waters, Burton Waters",39200.0
8246,Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,5.7,2.26,GRP,115,Germany , Mecklenburg-Vorpommern ,45558.8
8248,Motor Yacht,Broom power boats,"Used boat,Diesel",1976,11.8,3.6,GRP,247,Germany , Nordrhein-Westfalen ,45527.0
8250,Launch,Primeur power boats,Used boat,2019,6.95,2.55,GRP,81,Netherlands , In verkoophaven,45527.0
8252,Bowrider,Bayliner power boats,"new boat on order,Unleaded",2020,5.65,2.26,GRP,50,Germany , Bayern ,45474.0
8253,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1997,9.58,2.92,GRP,267,Germany , Brandenburg ,45474.0
8254,Pilothouse,B̩n̩teau power boats,"Used boat,Diesel",2007,9.18,3.13,PVC,150,France ," Brest, France",45474.0
8255,Bowrider,Bayliner power boats,"new boat on order,Unleaded",2020,5.65,2.3,GRP,127,Germany , Bayern ,45474.0
8257,Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.48,2.46,GRP,54,Germany , Niedersachsen ,45368.0
8258,Sport Boat,VBoats power boats,"new boat from stock,Unleaded",2020,7.13,2.46,Aluminium,222,Switzerland , Bouveret,49775.04
8263,Motor Yacht,Crownline power boats,"Used boat,Unleaded",2002,8.55,2.59,GRP,363,Switzerland , Murtensee ,49680.0
8265,Cabin Boat,Marco Yachts power boats,Used boat,2000,9.0,3.05,GRP,108,Netherlands , In verkoophaven,45050.0
8269,Pilothouse,B̩n̩teau power boats,"Used boat,Unleaded",2015,7.23,2.78,PVC,60,France ," BREST, France",45050.0
8270,Pilothouse,Quicksilver power boats,"Used boat,Diesel",2015,7.3,2.78,GRP,82,Germany , Berlin ,45050.0
8271,Sport Boat,IRON power boats,new boat on order,2020,7.67,2.44,GRP,49,Germany , Kiel,45050.0
8272,Trawler,Haber power boats,Used boat,2008,8.0,2.5,GRP,102,Netherlands , In verkoophaven,45050.0
8273,Deck Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2018,6.1,2.52,PVC,41,Spain ," Palma, Espagne",44568.76
8274,Sport Boat,Raffaelli power boats,"Used boat,Diesel",1982,9.6,3.0,GRP,29,Italy , Toscana ,44520.0
8277,Motor Yacht,Crownline power boats,"Used boat,Unleaded",2003,7.87,2.59,GRP,129,Germany , INFO DD-YACHTING,44520.0
8279,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2005,8.57,2.85,GRP,99,Italy , Gardasee,44520.0
8280,Motor Yacht,Maxum power boats,"Used boat,Unleaded",2005,8.56,2.87,GRP,170,Slovenia , Croatia,44520.0
8281,Cabin Boat,Glastron power boats,"Used boat,Unleaded",2007,7.57,2.59,GRP,128,Italy ," Lombardy, Soiano del Lago",44520.0
8282,Pontoon Boat,Pro-Line power boats,"Used boat,Unleaded",2007,7.01,2.62,GRP,60,Italy , Lazio ,44520.0
8284,Sport Boat,Cranchi power boats,"Used boat,Diesel",1999,8.45,2.94,GRP,125,Spain , Alicante,44520.0
8288,Pilothouse,B̩n̩teau power boats,"Used boat,Diesel",2003,9.18,3.1,PVC,71,France ," LORIENT, LORIENT",44520.0
8289,Pilothouse,B̩n̩teau power boats,"Used boat,Diesel",2004,7.6,2.75,PVC,61,France ," ANTIBES, ANTIBES",44520.0
8290,Motor Yacht,Riva power boats,Used boat,1981,12.18,3.85,GRP,244,Italy , Liguria ,44520.0
8291,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2006,8.57,2.88,GRP,109,Italy ," Lombardy, Soiano del Lago",44520.0
8292,Pilothouse,B̩n̩teau power boats,"Used boat,Diesel",2004,9.18,3.1,PVC,45,France ," Lorient, France",44520.0
8296,Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",2003,8.22,2.59,PVC,137,France ," MANCHE, France",44520.0
8298,Fishing Boat,Tiara power boats,"Used boat,Unleaded",1990,9.6,3.0,GRP,170,Italy , Veneto ,44520.0
8300,"Sport Boat,Wakeboard/Wakesurf",Yamaha power boats,"Used boat,Unleaded",2013,7.36,2.5,Carbon Fiber,136,Poland , WARSZAWA,44520.0
8301,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.74,2.55,GRP,112,Germany , Kieler Bucht mit Fehmarn ,44518.94
8302,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2018,6.5,2.43,PVC,51,France ," Dinard, France",44509.4
8303,Sport Boat,Clear power boats,"Used boat,Unleaded",2017,6.15,2.27,GRP,84,Germany , Lake Constance ,44467.0
8305,Cabin Boat,Smartboat power boats,"Used boat,Unleaded",2013,6.99,2.54,GRP,292,Switzerland , Lake Geneva ,48600.0
8306,"Motor Yacht,Sport Boat",Sea Ray power boats,"Used boat,Unleaded",1995,8.53,3.2,GRP,513,Switzerland , Bielersee ,48600.0
8307,"Sport Boat,Wakeboard/Wakesurf,Water ski",Sigrist power boats,"Used boat,Unleaded",1973,5.6,2.1,Wood,567,Switzerland , Lake Geneva ,48600.0
8309,Motor Yacht,Ocqueteau power boats,"new boat from stock,Unleaded",2019,6.2,2.45,GRP,152,Switzerland , Lake Geneva ,48492.0
8310,Motor Yacht,Rio power boats,"Used boat,Diesel",1998,9.5,3.3,GRP,159,Italy , Veneto ,43990.0
8311,Sport Boat,Sea Ray power boats,"Used boat,Diesel",1996,8.0,2.0,GRP,154,Croatia (Hrvatska) , Istra,43990.0
